Designator,Mid X,Mid Y,Rotation,Layer
C1,23.725,-36.625,180.0,bottom
C10,77.725,-36.625,180.0,bottom
C100,77.725,-72.625,180.0,bottom
C101,23.725,-76.625,180.0,bottom
C102,29.725,-76.625,180.0,bottom
C103,35.725,-76.625,180.0,bottom
C104,41.725,-76.625,180.0,bottom
C105,47.725,-76.625,180.0,bottom
C106,53.725,-76.625,180.0,bottom
C107,59.725,-76.625,180.0,bottom
C108,65.725,-76.625,180.0,bottom
C109,71.725,-76.625,180.0,bottom
C11,23.725,-40.625,180.0,bottom
C110,77.725,-76.625,180.0,bottom
C111,23.725,-80.625,180.0,bottom
C112,29.725,-80.625,180.0,bottom
C113,35.725,-80.625,180.0,bottom
C114,41.725,-80.625,180.0,bottom
C115,47.725,-80.625,180.0,bottom
C116,53.725,-80.625,180.0,bottom
C117,59.725,-80.625,180.0,bottom
C118,65.725,-80.625,180.0,bottom
C119,71.725,-80.625,180.0,bottom
C12,29.725,-40.625,180.0,bottom
C120,77.725,-80.625,180.0,bottom
C121,23.725,-84.625,180.0,bottom
C122,29.725,-84.625,180.0,bottom
C123,35.725,-84.625,180.0,bottom
C124,41.725,-84.625,180.0,bottom
C125,47.725,-84.625,180.0,bottom
C126,53.725,-84.625,180.0,bottom
C127,59.725,-84.625,180.0,bottom
C128,65.725,-84.625,180.0,bottom
C129,71.725,-84.625,180.0,bottom
C13,35.725,-40.625,180.0,bottom
C130,77.725,-84.625,180.0,bottom
C131,23.725,-88.625,180.0,bottom
C132,29.725,-88.625,180.0,bottom
C133,35.725,-88.625,180.0,bottom
C134,41.725,-88.625,180.0,bottom
C135,47.725,-88.625,180.0,bottom
C136,53.725,-88.625,180.0,bottom
C137,59.725,-88.625,180.0,bottom
C138,65.725,-88.625,180.0,bottom
C139,71.725,-88.625,180.0,bottom
C14,41.725,-40.625,180.0,bottom
C140,77.725,-88.625,180.0,bottom
C141,23.725,-92.625,180.0,bottom
C142,29.725,-92.625,180.0,bottom
C143,35.725,-92.625,180.0,bottom
C144,41.725,-92.625,180.0,bottom
C145,47.725,-92.625,180.0,bottom
C146,53.725,-92.625,180.0,bottom
C147,59.725,-92.625,180.0,bottom
C148,65.725,-92.625,180.0,bottom
C149,71.725,-92.625,180.0,bottom
C15,47.725,-40.625,180.0,bottom
C150,77.725,-92.625,180.0,bottom
C16,53.725,-40.625,180.0,bottom
C17,59.725,-40.625,180.0,bottom
C18,65.725,-40.625,180.0,bottom
C19,71.725,-40.625,180.0,bottom
C2,29.725,-36.625,180.0,bottom
C20,77.725,-40.625,180.0,bottom
C21,23.725,-44.625,180.0,bottom
C22,29.725,-44.625,180.0,bottom
C23,35.725,-44.625,180.0,bottom
C24,41.725,-44.625,180.0,bottom
C25,47.725,-44.625,180.0,bottom
C26,53.725,-44.625,180.0,bottom
C27,59.725,-44.625,180.0,bottom
C28,65.725,-44.625,180.0,bottom
C29,71.725,-44.625,180.0,bottom
C3,35.725,-36.625,180.0,bottom
C30,77.725,-44.625,180.0,bottom
C31,23.725,-48.625,180.0,bottom
C32,29.725,-48.625,180.0,bottom
C33,35.725,-48.625,180.0,bottom
C34,41.725,-48.625,180.0,bottom
C35,47.725,-48.625,180.0,bottom
C36,53.725,-48.625,180.0,bottom
C37,59.725,-48.625,180.0,bottom
C38,65.725,-48.625,180.0,bottom
C39,71.725,-48.625,180.0,bottom
C4,41.725,-36.625,180.0,bottom
C40,77.725,-48.625,180.0,bottom
C41,23.725,-52.625,180.0,bottom
C42,29.725,-52.625,180.0,bottom
C43,35.725,-52.625,180.0,bottom
C44,41.725,-52.625,180.0,bottom
C45,47.725,-52.625,180.0,bottom
C46,53.725,-52.625,180.0,bottom
C47,59.725,-52.625,180.0,bottom
C48,65.725,-52.625,180.0,bottom
C49,71.725,-52.625,180.0,bottom
C5,47.725,-36.625,180.0,bottom
C50,77.725,-52.625,180.0,bottom
C51,23.725,-56.625,180.0,bottom
C52,29.725,-56.625,180.0,bottom
C53,35.725,-56.625,180.0,bottom
C54,41.725,-56.625,180.0,bottom
C55,47.725,-56.625,180.0,bottom
C56,53.725,-56.625,180.0,bottom
C57,59.725,-56.625,180.0,bottom
C58,65.725,-56.625,180.0,bottom
C59,71.725,-56.625,180.0,bottom
C6,53.725,-36.625,180.0,bottom
C60,77.725,-56.625,180.0,bottom
C61,23.725,-60.625,180.0,bottom
C62,29.725,-60.625,180.0,bottom
C63,35.725,-60.625,180.0,bottom
C64,41.725,-60.625,180.0,bottom
C65,47.725,-60.625,180.0,bottom
C66,53.725,-60.625,180.0,bottom
C67,59.725,-60.625,180.0,bottom
C68,65.725,-60.625,180.0,bottom
C69,71.725,-60.625,180.0,bottom
C7,59.725,-36.625,180.0,bottom
C70,77.725,-60.625,180.0,bottom
C71,23.725,-64.625,180.0,bottom
C72,29.725,-64.625,180.0,bottom
C73,35.725,-64.625,180.0,bottom
C74,41.725,-64.625,180.0,bottom
C75,47.725,-64.625,180.0,bottom
C76,53.725,-64.625,180.0,bottom
C77,59.725,-64.625,180.0,bottom
C78,65.725,-64.625,180.0,bottom
C79,71.725,-64.625,180.0,bottom
C8,65.725,-36.625,180.0,bottom
C80,77.725,-64.625,180.0,bottom
C81,23.725,-68.625,180.0,bottom
C82,29.725,-68.625,180.0,bottom
C83,35.725,-68.625,180.0,bottom
C84,41.725,-68.625,180.0,bottom
C85,47.725,-68.625,180.0,bottom
C86,53.725,-68.625,180.0,bottom
C87,59.725,-68.625,180.0,bottom
C88,65.725,-68.625,180.0,bottom
C89,71.725,-68.625,180.0,bottom
C9,71.725,-36.625,180.0,bottom
C90,77.725,-68.625,180.0,bottom
C91,23.725,-72.625,180.0,bottom
C92,29.725,-72.625,180.0,bottom
C93,35.725,-72.625,180.0,bottom
C94,41.725,-72.625,180.0,bottom
C95,47.725,-72.625,180.0,bottom
C96,53.725,-72.625,180.0,bottom
C97,59.725,-72.625,180.0,bottom
C98,65.725,-72.625,180.0,bottom
C99,71.725,-72.625,180.0,bottom
J20,11.49,-64.75,0.0,bottom
R1,19.21,-34.72,225.0,top
R10,19.45,-70.42,270.0,top
R11,19.45,-74.34,90.0,top
R12,19.5,-78.0,270.0,top
R13,19.5,-82.0,90.0,top
R14,19.5,-86.0,270.0,top
R15,19.5,-89.5,90.0,top
R16,19.5,-93.0,270.0,top
R2,19.5,-38.5,90.0,top
R3,19.5,-42.0,270.0,top
R4,19.5,-46.0,90.0,top
R5,19.5,-50.0,270.0,top
R6,19.5,-54.0,90.0,top
R7,19.5,-58.0,270.0,top
R8,19.5,-62.0,90.0,top
R9,19.45,-66.35,90.0,top
U1,21.72,-33.62,180.0,top
U10,39.72,-33.62,180.0,top
U100,27.72,-39.62,180.0,top
U1000,35.72,-95.62,180.0,top
U1001,37.72,-95.62,180.0,top
U1002,39.72,-95.62,180.0,top
U1003,41.72,-95.62,180.0,top
U1004,43.72,-95.62,180.0,top
U1005,45.72,-95.62,180.0,top
U1006,47.72,-95.62,180.0,top
U1007,49.72,-95.62,180.0,top
U1008,51.72,-95.62,180.0,top
U1009,53.72,-95.62,180.0,top
U101,29.72,-39.62,180.0,top
U1010,55.72,-95.62,180.0,top
U1011,57.72,-95.62,180.0,top
U1012,59.72,-95.62,180.0,top
U1013,61.72,-95.62,180.0,top
U1014,63.72,-95.62,180.0,top
U1015,65.72,-95.62,180.0,top
U1016,67.72,-95.62,180.0,top
U1017,69.72,-95.62,180.0,top
U1018,71.72,-95.62,180.0,top
U1019,73.72,-95.62,180.0,top
U102,31.72,-39.62,180.0,top
U1020,75.72,-95.62,180.0,top
U1021,77.72,-95.62,180.0,top
U1022,79.72,-95.62,180.0,top
U1023,81.72,-95.62,180.0,top
U1024,83.72,-95.62,180.0,top
U103,33.72,-39.62,180.0,top
U104,35.72,-39.62,180.0,top
U105,37.72,-39.62,180.0,top
U106,39.72,-39.62,180.0,top
U107,41.72,-39.62,180.0,top
U108,43.72,-39.62,180.0,top
U109,45.72,-39.62,180.0,top
U11,41.72,-33.62,180.0,top
U110,47.72,-39.62,180.0,top
U111,49.72,-39.62,180.0,top
U112,51.72,-39.62,180.0,top
U113,53.72,-39.62,180.0,top
U114,55.72,-39.62,180.0,top
U115,57.72,-39.62,180.0,top
U116,59.72,-39.62,180.0,top
U117,61.72,-39.62,180.0,top
U118,63.72,-39.62,180.0,top
U119,65.72,-39.62,180.0,top
U12,43.72,-33.62,180.0,top
U120,67.72,-39.62,180.0,top
U121,69.72,-39.62,180.0,top
U122,71.72,-39.62,180.0,top
U123,73.72,-39.62,180.0,top
U124,75.72,-39.62,180.0,top
U125,77.72,-39.62,180.0,top
U126,79.72,-39.62,180.0,top
U127,81.72,-39.62,180.0,top
U128,83.72,-39.62,180.0,top
U129,21.72,-41.62,180.0,top
U13,45.72,-33.62,180.0,top
U130,23.72,-41.62,180.0,top
U131,25.72,-41.62,180.0,top
U132,27.72,-41.62,180.0,top
U133,29.72,-41.62,180.0,top
U134,31.72,-41.62,180.0,top
U135,33.72,-41.62,180.0,top
U136,35.72,-41.62,180.0,top
U137,37.72,-41.62,180.0,top
U138,39.72,-41.62,180.0,top
U139,41.72,-41.62,180.0,top
U14,47.72,-33.62,180.0,top
U140,43.72,-41.62,180.0,top
U141,45.72,-41.62,180.0,top
U142,47.72,-41.62,180.0,top
U143,49.72,-41.62,180.0,top
U144,51.72,-41.62,180.0,top
U145,53.72,-41.62,180.0,top
U146,55.72,-41.62,180.0,top
U147,57.72,-41.62,180.0,top
U148,59.72,-41.62,180.0,top
U149,61.72,-41.62,180.0,top
U15,49.72,-33.62,180.0,top
U150,63.72,-41.62,180.0,top
U151,65.72,-41.62,180.0,top
U152,67.72,-41.62,180.0,top
U153,69.72,-41.62,180.0,top
U154,71.72,-41.62,180.0,top
U155,73.72,-41.62,180.0,top
U156,75.72,-41.62,180.0,top
U157,77.72,-41.62,180.0,top
U158,79.72,-41.62,180.0,top
U159,81.72,-41.62,180.0,top
